name,url,address
The Academy Of Information Technology,https://www.greatschools.org/connecticut/stamford/1777-The-Academy-Of-Information-Technology/,"411 High Ridge Road, Stamford, CT, 06905
�
4.2
(6 Reviews)"
Jonathan Law High School,https://www.greatschools.org/connecticut/milford/508-Jonathan-Law-High-School/,"20 Lansdale Avenue, Milford, CT, 06460
�
3.8
(4 Reviews)"
Bethel High School,https://www.greatschools.org/connecticut/bethel/84-Bethel-High-School/,"300 Whittlesey Drive, Bethel, CT, 06801
�
2.9
(11 Reviews)"
Bunnell High School,https://www.greatschools.org/connecticut/stratford/901-Bunnell-High-School/,"1 Bulldog Boulevard, Stratford, CT, 06614
�
3
(2 Reviews)"
Stratford High School,https://www.greatschools.org/connecticut/stratford/910-Stratford-High-School/,"245 King Street, Stratford, CT, 06615
�
4.5
(2 Reviews)"
Essex County Vocational School,https://www.greatschools.org/new-jersey/east-orange/549-Essex-County-Vocational-School/,"498-544 West Market St, Newark, NJ, 07107
�
4.2
(5 Reviews)"
Fort Lee High School,https://www.greatschools.org/new-jersey/fort-lee/598-Fort-Lee-High-School/,"3000 Lemoine Avenue, Fort Lee, NJ, 07024
�
3.6
(9 Reviews)"
Colts Neck High School,https://www.greatschools.org/new-jersey/colts-neck/626-Colts-Neck-High-School/,"59 Five Points Road, Colts Neck, NJ, 07722
�
4.6
(7 Reviews)"
Freehold Twp High School,https://www.greatschools.org/new-jersey/freehold/628-Freehold-Twp-High-School/,"281 Elton Adelphia Road, Freehold Township, NJ, 07728
�
4.4
(8 Reviews)"
Howell High School,https://www.greatschools.org/new-jersey/howell-township/629-Howell-High-School/,"405 Squankum Yellowbrook Road, Farmingdale, NJ, 07727
�
4.5
(6 Reviews)"
Manalapan High School,https://www.greatschools.org/new-jersey/manalapan-township/630-Manalapan-High-School/,"20 CHURCH LANE, Englishtown, NJ, 07726
�
4
(4 Reviews)"
Beloved Community Charter School,https://www.greatschools.org/new-jersey/jersey-city/7136-Beloved-Community-Charter-School/,"508 Grand Street, Jersey City, NJ, 07302
�
3.9
(42 Reviews)"
Academy Of Law & Public Safety,https://www.greatschools.org/new-jersey/long-branch/7432-Academy-Of-Law--Public-Safety/,"255 West End Avenue, Long Branch, NJ, 07740"
Hillsborough High School,https://www.greatschools.org/new-jersey/hillsborough-township/788-Hillsborough-High-School/,"466 Raider Boulevard, Hillsborough Township, NJ, 08844
�
3.4
(7 Reviews)"
Hunterdon Central High School,https://www.greatschools.org/new-jersey/flemington/842-Hunterdon-Central-High-School/,"84 New Jersey 31, Flemington, NJ, 08822
�
3.8
(15 Reviews)"
Lawrence High School,https://www.greatschools.org/new-jersey/lawrenceville/954-Lawrence-High-School/,"2525 PRINCETON PIKE, Lawrence Township, NJ, 08648
�
4.8
(30 Reviews)"
